"time","SH","EH","IH","RH","AV","SV","EV","IV","Inc","IncCS","R0","Vls","EIC"
285.375,270000,0,0,0,1609070.11069685,2160871.99167274,0,0,0,0,7.23848983528455,14.3338700002717,6.97928264756696
285.4375,270000,0,0,0,1608965.52583482,2160126.56591061,0,0,0,0,7.19643083151468,14.3149496340969,6.98879600961209
285.5,270000,0,0,0,1608850.45941649,2159350.94194079,0,0,0,0,7.15454817504227,14.2967792642136,6.99849982827883
285.5625,270000,0,0,0,1608722.2470986,2158554.15878862,0,0,0,0,7.11283061355301,14.2793675663915,7.00838528934907
285.625,270000,0,0,0,1608593.36762216,2157726.39578974,0,0,0,0,7.07083748560066,14.2617771890472,7.01831095333922
285.6875,270000,0,0,0,1608453.45395737,2156831.54749122,0,0,0,0,7.02688699991928,14.2408899763923,7.02776842566919
285.75,270000,0,0,0,1608304.70779128,2155916.12858368,0,0,0,0,6.98343747533112,14.2209426921827,7.03742795945371
285.8125,270000,0,0,0,1608149.28229641,2154980.04050415,0,0,0,0,6.9404665893698,14.2018646182857,7.0472800813374
285.875,270000,0,0,0,1607988.28546212,2154022.72661865,0,0,0,0,6.89803707078829,14.1835499789631,7.05718129841012
285.9375,270000,0,0,0,1607825.28822208,2153045.0464577,0,0,0,0,6.85641898555269,14.1660200579897,7.0666172395248
286,270000,0,0,0,1607662.07495278,2152047.24806974,0,0,0,0,6.81539377237439,14.1492414589668,7.07626489808789
286.0625,270000,0,0,0,1607498.51167246,2151031.72688204,0,0,0,0,6.77500983772939,14.1332220778012,7.08611426063174
286.125,270000,0,0,0,1607330.08218151,2149995.32400492,0,0,0,0,6.73477596762748,14.1170369280417,7.09601986933731
286.1875,270000,0,0,0,1607166.2547427,2148895.28846064,0,0,0,0,6.69312375056762,14.0976116284636,7.10546139385233
286.25,270000,0,0,0,1607000.20659601,2147784.67533681,0,0,0,0,6.65234161457954,14.0791077826588,7.11498622729566
286.3125,270000,0,0,0,1606837.70244736,2146656.26192503,0,0,0,0,6.61256283261837,14.0614168702844,7.12407053776615
286.375,270000,0,0,0,1606662.25855559,2145519.21601389,0,0,0,0,6.57367948017576,14.0445564296511,7.13326216552228
286.4375,270000,0,0,0,1606490.88990307,2144371.88680207,0,0,0,0,6.53585370961778,14.0284762568254,7.14203395209361
286.5,270000,0,0,0,1606329.21739104,2143207.71083516,0,0,0,0,6.49892285869019,14.0131291895045,7.15093436950388
286.5625,270000,0,0,0,1606157.40842674,2142035.24755022,0,0,0,0,6.46298966309938,13.9984847287423,7.15943308583273
286.625,270000,0,0,0,1605989.57365123,2140855.1548201,0,0,0,0,6.42786909570973,13.9845530994551,7.16807936910558
286.6875,270000,0,0,0,1605821.56457798,2139665.18756928,0,0,0,0,6.39356152145717,13.9712384949706,7.17633984777039
286.75,270000,0,0,0,1605646.87268348,2138459.64684133,0,0,0,0,6.35982566233757,13.9585838689294,7.1847647321068
286.8125,270000,0,0,0,1605453.74730562,2137247.49543532,0,0,0,0,6.32684304549882,13.9466019202664,7.1928177277065
286.875,270000,0,0,0,1605245.37987309,2136017.29565308,0,0,0,0,6.29383588006077,13.9343986884997,7.20118917136276
286.9375,270000,0,0,0,1605029.09286967,2134725.31086971,0,0,0,0,6.25904094507659,13.9189987829965,7.20972314638492
287,270000,0,0,0,1604802.35425336,2133418.93109529,0,0,0,0,6.2248622520817,13.9044658792119,7.2178796354293
287.0625,270000,0,0,0,1604558.18148567,2132105.58814942,0,0,0,0,6.19115383012527,13.8908134794417,7.22635419519768
287.125,270000,0,0,0,1604304.30817126,2130776.91832843,0,0,0,0,6.15780656172841,13.8779882366514,7.23498994079948
287.1875,270000,0,0,0,1604036.21309687,2129432.94010307,0,0,0,0,6.12484475022418,13.8659400359396,7.24324305781874
287.25,270000,0,0,0,1603745.33162424,2128073.77724299,0,0,0,0,6.09207514830565,13.8546355085414,7.2518143490253
287.3125,270000,0,0,0,1603443.26826945,2126700.19933029,0,0,0,0,6.05951500679453,13.8440956309571,7.2606875407619
287.375,270000,0,0,0,1603129.50226474,2125312.22890482,0,0,0,0,6.02712009192213,13.8342740877047,7.26970522090733
287.4375,270000,0,0,0,1602788.7504614,2123900.95364307,0,0,0,0,5.99451249379527,13.8243490904346,7.27831868850696
287.5,270000,0,0,0,1602423.19909212,2122429.47446866,0,0,0,0,5.95991465905038,13.8113703103248,7.28723755820679
287.5625,270000,0,0,0,1602044.15274177,2120936.22196468,0,0,0,0,5.92542622175197,13.799322963383,7.29644638024525
287.625,270000,0,0,0,1601659.26495343,2119427.15001592,0,0,0,0,5.89079645047676,13.7880849140836,7.30593065785295
287.6875,270000,0,0,0,1601249.23728512,2117893.76203919,0,0,0,0,5.85588739752752,13.7775934892111,7.31567678963932
287.75,270000,0,0,0,1600836.15498192,2116333.67739753,0,0,0,0,5.82039619767418,13.7677377075559,7.32581734757007
287.8125,270000,0,0,0,1600422.67607479,2114729.56435254,0,0,0,0,5.78367323233107,13.7576819348407,7.33688673644678
287.875,270000,0,0,0,1600012.71451311,2113044.91377186,0,0,0,0,5.74410865214411,13.7443690489797,7.34828143423227
287.9375,270000,0,0,0,1599600.38440298,2111324.17245457,0,0,0,0,5.70357940696683,13.7317048801622,7.36054633878518
288,270000,0,0,0,1599191.9080125,2109565.72248707,0,0,0,0,5.66199159497858,13.7196366128953,7.37307536164394
288.0625,270000,0,0,0,1598778.97606366,2107760.5055285,0,0,0,0,5.61910049366012,13.7080493386997,7.38657327770329
288.125,270000,0,0,0,1598377.07283967,2105899.05156176,0,0,0,0,5.57441855538796,13.6960750232811,7.40099445935159
288.1875,270000,0,0,0,1597981.58816214,2103945.81897289,0,0,0,0,5.52639132129537,13.6807712710555,7.41629619237002
288.25,270000,0,0,0,1597595.55594398,2101943.56587981,0,0,0,0,5.47694003554855,13.6660032488593,7.43243850169036
288.3125,270000,0,0,0,1597220.39459636,2099884.14471357,0,0,0,0,5.42600469741934,13.6517253639196,7.44938398775304
288.375,270000,0,0,0,1596860.72444953,2097756.53888907,0,0,0,0,5.37305660745414,13.6370798588979,7.46725385123163
288.4375,270000,0,0,0,1596505.735307,2095517.03780665,0,0,0,0,5.31663644366644,13.6191621062205,7.48660317209548
288.5,270000,0,0,0,1596170.19020661,2093209.95610401,0,0,0,0,5.25866968710889,13.6017734988616,7.50660995965917
288.5625,270000,0,0,0,1595843.3001395,2090827.66476472,0,0,0,0,5.19877703344031,13.584064735518,7.52740911155192
288.625,270000,0,0,0,1595510.92921079,2088341.7208375,0,0,0,0,5.13591817800556,13.5631933665514,7.54958075552872
288.6875,270000,0,0,0,1595194.95660134,2085791.27045827,0,0,0,0,5.07220239291421,13.5430350722949,7.57245314567475
288.75,270000,0,0,0,1594878.47852631,2083182.51908709,0,0,0,0,5.00764746378458,13.5234836812466,7.59662457938964
288.8125,270000,0,0,0,1594575.19101441,2080500.2688582,0,0,0,0,4.94234847794339,13.5037598315913,7.62124937754846
288.875,270000,0,0,0,1594290.60465734,2077719.40554493,0,0,0,0,4.87539590621406,13.4810384290316,7.64631536434317
288.9375,270000,0,0,0,1594002.73902715,2074891.56684928,0,0,0,0,4.80855799665193,13.4590847899389,7.67181128529432
289,270000,0,0,0,1593704.8563233,2072010.19407611,0,0,0,0,4.74189293567742,13.4378400980409,7.69772675438262
289.0625,270000,0,0,0,1593415.91387773,2069083.24059415,0,0,0,0,4.67560572192761,13.4172123712663,7.72388049825004
289.125,270000,0,0,0,1593129.36439878,2066111.76894057,0,0,0,0,4.60994170616899,13.3972278883355,7.74961743768827
289.1875,270000,0,0,0,1592845.74005886,2063087.14588111,0,0,0,0,4.54460090463401,13.3771165038748,7.77579931484801
289.25,270000,0,0,0,1592572.90062699,2059975.80964386,0,0,0,0,4.47866227835461,13.3540810510512,7.80224027996112
289.3125,270000,0,0,0,1592298.29854863,2056830.19060923,0,0,0,0,4.41381704661792,13.331778024043,7.82809503961937
289.375,270000,0,0,0,1592019.74931621,2053651.10227743,0,0,0,0,4.3500739997421,13.3102131655592,7.85357993881459
289.4375,270000,0,0,0,1591741.60986014,2050438.1060293,0,0,0,0,4.28738513788961,13.2892933563393,7.87939653863928
289.5,270000,0,0,0,1591467.9609557,2047193.69987608,0,0,0,0,4.2259516026283,13.2690295020197,7.90468153938664
289.5625,270000,0,0,0,1591192.95601514,2043924.05967221,0,0,0,0,4.16580365963825,13.2493335892112,7.92947140846589
289.625,270000,0,0,0,1590911.99256137,2040621.83576573,0,0,0,0,4.10685994421599,13.2302338757286,7.95398078348464
289.6875,270000,0,0,0,1590635.30674399,2037280.0509572,0,0,0,0,4.04861562239303,13.2109754884186,7.97892001132869
289.75,270000,0,0,0,1590351.74809972,2033870.35678486,0,0,0,0,3.99025633380191,13.1888235317926,8.00340236094662
289.8125,270000,0,0,0,1590062.23039772,2030429.03506793,0,0,0,0,3.93295789762313,13.1674346400451,8.02764328805902
289.875,270000,0,0,0,1589771.40924194,2026957.04864294,0,0,0,0,3.87655888232541,13.1468244305896,8.05236245563849
289.9375,270000,0,0,0,1589470.65124255,2023454.71211875,0,0,0,0,3.82110565751962,13.1269589494354,8.07665581873772
290,270000,0,0,0,1589159.0599219,2019922.94585462,0,0,0,0,3.76649753953259,13.1078546373271,8.10074016673324
290.0625,270000,0,0,0,1588834.57413115,2016361.87933454,0,0,0,0,3.71262888393598,13.0894657812947,8.12534518024744
290.125,270000,0,0,0,1588496.36293726,2012771.63717938,0,0,0,0,3.65953001773213,13.0717494374697,8.14954949817159
290.1875,270000,0,0,0,1588145.46109455,2009142.08940418,0,0,0,0,3.60693329095985,13.0539695053315,8.17357168825953
