"timestep","temp","hum","prec","epsilon","mu_A","theta","gamma_V","phi_HV","phi_VH","mu_V_temp","mu_V_hum","c_temp","mu_A_rain"
182.375,19.889,0.6958,0,0.0755,0.0278,2.5298,0.0516,0.5598,0.4799,0.0183,0.5869,0.7742,0
182.4375,19.9152,0.6947,0,0.0758,0.028,2.5463,0.0518,0.5618,0.4818,0.0183,0.5881,0.7748,0
182.5,19.942,0.6933,0,0.0762,0.0282,2.5632,0.0519,0.564,0.4838,0.0183,0.5894,0.7753,0
182.5625,19.9688,0.6921,0,0.0766,0.0284,2.5802,0.052,0.5661,0.4857,0.0183,0.5906,0.7759,0
182.625,19.9955,0.6909,0,0.0769,0.0286,2.5972,0.0521,0.5682,0.4877,0.0182,0.5918,0.7764,0
182.6875,20.0223,0.6897,0,0.0773,0.0288,2.6142,0.0523,0.5703,0.4896,0.0182,0.593,0.7769,0
182.75,20.0491,0.6886,0,0.0776,0.029,2.6313,0.0524,0.5725,0.4916,0.0182,0.5941,0.7775,0
182.8125,20.0759,0.6876,0,0.078,0.0292,2.6485,0.0525,0.5746,0.4935,0.0182,0.5951,0.778,0
182.875,20.1027,0.6866,0,0.0783,0.0294,2.6656,0.0526,0.5767,0.4955,0.0182,0.5961,0.7785,0
182.9375,20.1295,0.6857,0,0.0787,0.0296,2.6829,0.0528,0.5788,0.4974,0.0182,0.597,0.779,0
183,20.1562,0.6848,0,0.079,0.0298,2.7002,0.0529,0.5809,0.4994,0.0181,0.5978,0.7795,0
183.0625,20.183,0.684,0,0.0794,0.03,2.7175,0.053,0.5831,0.5013,0.0181,0.5986,0.78,0
183.125,20.2098,0.6833,0,0.0797,0.0301,2.7349,0.0532,0.5852,0.5033,0.0181,0.5994,0.7805,0
183.1875,20.2366,0.6826,0,0.08,0.0303,2.7523,0.0533,0.5873,0.5052,0.0181,0.6001,0.781,0
183.25,20.2634,0.682,0,0.0804,0.0305,2.7698,0.0534,0.5894,0.5072,0.0181,0.6007,0.7815,0
183.3125,20.2902,0.6814,0,0.0807,0.0307,2.7873,0.0536,0.5915,0.5092,0.0181,0.6013,0.782,0
183.375,20.317,0.6809,0,0.0811,0.0309,2.8048,0.0537,0.5936,0.5111,0.018,0.6018,0.7824,0
183.4375,20.3437,0.6804,0,0.0814,0.0311,2.8224,0.0538,0.5957,0.5131,0.018,0.6023,0.7829,0
183.5,20.3705,0.68,0,0.0818,0.0313,2.8401,0.0539,0.5978,0.515,0.018,0.6027,0.7834,0
183.5625,20.3956,0.6795,0,0.0821,0.0315,2.8567,0.0541,0.5998,0.5168,0.018,0.6032,0.7838,0
183.625,20.4191,0.679,0,0.0824,0.0317,2.8722,0.0542,0.6016,0.5186,0.018,0.6037,0.7842,0
183.6875,20.4408,0.6783,0,0.0827,0.0318,2.8866,0.0543,0.6034,0.5201,0.018,0.6043,0.7846,0
183.75,20.4609,0.6776,0,0.083,0.032,2.9,0.0544,0.6049,0.5216,0.0179,0.6051,0.7849,0
183.8125,20.4794,0.6768,0,0.0832,0.0321,2.9122,0.0545,0.6064,0.5229,0.0179,0.6058,0.7852,0
183.875,20.4961,0.676,0,0.0834,0.0322,2.9234,0.0546,0.6077,0.5242,0.0179,0.6067,0.7855,0
183.9375,20.5112,0.675,0,0.0836,0.0323,2.9334,0.0546,0.6089,0.5253,0.0179,0.6076,0.7857,0
184,20.5246,0.674,0,0.0838,0.0324,2.9424,0.0547,0.6099,0.5262,0.0179,0.6086,0.7859,0
184.0625,20.5363,0.6729,0,0.0839,0.0325,2.9502,0.0548,0.6108,0.5271,0.0179,0.6097,0.7861,0
184.125,20.5463,0.6717,0,0.0841,0.0326,2.957,0.0548,0.6116,0.5278,0.0179,0.6109,0.7863,0
184.1875,20.5547,0.6705,0,0.0842,0.0326,2.9626,0.0549,0.6123,0.5284,0.0179,0.6121,0.7864,0
184.25,20.5614,0.6692,0,0.0842,0.0327,2.9671,0.0549,0.6128,0.5289,0.0179,0.6135,0.7865,0
184.3125,20.5664,0.6678,0,0.0843,0.0327,2.9704,0.0549,0.6132,0.5293,0.0179,0.6149,0.7866,0
184.375,20.5698,0.6663,0,0.0844,0.0328,2.9727,0.0549,0.6134,0.5295,0.0179,0.6163,0.7867,0
184.4375,20.5714,0.6648,0,0.0844,0.0328,2.9738,0.0549,0.6136,0.5297,0.0179,0.6179,0.7867,0
184.5,20.5714,0.6631,0,0.0844,0.0328,2.9738,0.0549,0.6136,0.5297,0.0179,0.6195,0.7867,0
184.5625,20.5731,0.6616,0,0.0844,0.0328,2.9749,0.0549,0.6137,0.5298,0.0179,0.6211,0.7867,0
184.625,20.5765,0.66,0,0.0844,0.0328,2.9772,0.055,0.614,0.53,0.0179,0.6227,0.7868,0
184.6875,20.5815,0.6584,0,0.0845,0.0328,2.9806,0.055,0.6144,0.5304,0.0179,0.6242,0.7868,0
184.75,20.5882,0.6569,0,0.0846,0.0329,2.9851,0.055,0.6149,0.5309,0.0178,0.6257,0.7869,0
184.8125,20.5965,0.6554,0,0.0847,0.033,2.9907,0.0551,0.6155,0.5315,0.0178,0.6272,0.7871,0
184.875,20.6066,0.6539,0,0.0848,0.033,2.9975,0.0551,0.6163,0.5322,0.0178,0.6287,0.7872,0
184.9375,20.6183,0.6525,0,0.085,0.0331,3.0054,0.0552,0.6172,0.5331,0.0178,0.6301,0.7874,0
185,20.6317,0.6511,0,0.0851,0.0332,3.0144,0.0552,0.6183,0.5341,0.0178,0.6316,0.7876,0
185.0625,20.6468,0.6497,0,0.0853,0.0333,3.0246,0.0553,0.6194,0.5351,0.0178,0.633,0.7879,0
185.125,20.6635,0.6483,0,0.0856,0.0334,3.0359,0.0554,0.6207,0.5364,0.0178,0.6343,0.7881,0
185.1875,20.6819,0.647,0,0.0858,0.0336,3.0484,0.0555,0.6222,0.5377,0.0178,0.6357,0.7884,0
185.25,20.702,0.6456,0,0.086,0.0337,3.062,0.0556,0.6237,0.5392,0.0178,0.637,0.7887,0
185.3125,20.7238,0.6444,0,0.0863,0.0339,3.0768,0.0557,0.6254,0.5408,0.0177,0.6383,0.789,0
185.375,20.7472,0.6431,0,0.0866,0.034,3.0928,0.0558,0.6273,0.5425,0.0177,0.6396,0.7894,0
185.4375,20.7723,0.6418,0,0.0869,0.0342,3.1099,0.056,0.6292,0.5443,0.0177,0.6408,0.7897,0
185.5,20.7991,0.6406,0,0.0873,0.0344,3.1282,0.0561,0.6313,0.5463,0.0177,0.642,0.7901,0
185.5625,20.8248,0.6394,0,0.0876,0.0346,3.1458,0.0562,0.6333,0.5481,0.0177,0.6432,0.7905,0
185.625,20.8493,0.6383,0,0.0879,0.0348,3.1627,0.0563,0.6352,0.5499,0.0176,0.6444,0.7908,0
185.6875,20.8728,0.6371,0,0.0882,0.035,3.1788,0.0565,0.637,0.5516,0.0176,0.6455,0.7911,0
185.75,20.8951,0.636,0,0.0885,0.0351,3.1942,0.0566,0.6387,0.5533,0.0176,0.6466,0.7914,0
185.8125,20.9163,0.6349,0,0.0888,0.0353,3.2088,0.0567,0.6403,0.5548,0.0176,0.6477,0.7917,0
185.875,20.9364,0.6339,0,0.089,0.0354,3.2227,0.0568,0.6419,0.5563,0.0175,0.6488,0.792,0
185.9375,20.9554,0.6328,0,0.0893,0.0355,3.2359,0.0569,0.6433,0.5576,0.0175,0.6498,0.7922,0
