Date,Temp,Hum,Prec,Cases
05/11/2012,18,66,17.02,164
06/11/2012,17,80,21.08,
07/11/2012,15,68,3.05,
08/11/2012,13,62,0,
09/11/2012,15,67,3.05,
10/11/2012,16,68,0,
11/11/2012,18,66,0,
12/11/2012,17,64,0,252
13/11/2012,17,66,0,
14/11/2012,14,75,6.1,
15/11/2012,13,66,1.02,
16/11/2012,16,69,0,
17/11/2012,17,70,2.03,
18/11/2012,15,73,0.51,
19/11/2012,15,74,0,315
20/11/2012,14,72,14.99,
21/11/2012,16,67,3.05,
22/11/2012,15,59,0,
23/11/2012,15,69,0,
24/11/2012,17,86,1.02,
25/11/2012,16,81,0.51,
26/11/2012,16,81,5.08,219
27/11/2012,15,70,0.25,
28/11/2012,14,65,2.03,
29/11/2012,15,68,0.51,
30/11/2012,14,69,0.76,
01/12/2012,14,64,0.76,
02/12/2012,14,60,0,
03/12/2012,15,65,0,102
04/12/2012,14,59,0,
05/12/2012,15,59,0,
06/12/2012,14,67,0,
07/12/2012,16,68,0,
08/12/2012,17,77,0,
09/12/2012,16,79,0,
10/12/2012,16,78,0,57
11/12/2012,17,75,0,
12/12/2012,16,70,0,
13/12/2012,15,64,0,
14/12/2012,14,69,0,
15/12/2012,15,70,0,
16/12/2012,15,72,0,
17/12/2012,14,80,0.25,53
18/12/2012,16,73,0,
19/12/2012,16,71,0,
20/12/2012,16,76,0,
21/12/2012,15,81,0,
22/12/2012,16,81,0,
23/12/2012,16,59,0,
24/12/2012,14,57,4.06,24
25/12/2012,13,65,0,
26/12/2012,15,63,0,
27/12/2012,16,62,0,
28/12/2012,16,65,0,
29/12/2012,14,66,0,
30/12/2012,16,76,0,
31/12/2012,15,77,0,9
01/01/2013,16,77,0,
02/01/2013,17,72,0,
03/01/2013,17,63,0,
04/01/2013,17,68,0,
05/01/2013,17,66,0,
06/01/2013,17,67,0,
07/01/2013,18,68,0,8
08/01/2013,17,70,0,
09/01/2013,17,64,0,
10/01/2013,16,69,0,
11/01/2013,15,71,0,
12/01/2013,16,74,0,
13/01/2013,16,67,0,
14/01/2013,15,66,0,10
15/01/2013,15,68,0,
16/01/2013,15,69,0,
17/01/2013,15,66,0,
18/01/2013,15,76,0,
19/01/2013,17,68,1,
20/01/2013,16,77,0,
21/01/2013,16,73,0,6
22/01/2013,15,57,0,
23/01/2013,,,,
24/01/2013,17,70,0,
25/01/2013,16,72,0,
26/01/2013,17,81,0,
27/01/2013,17,86,0.3,
28/01/2013,17,81,0,2
29/01/2013,17,74,0,
30/01/2013,17,77,0,
31/01/2013,16,79,0,
01/02/2013,,,,
02/02/2013,,,,
03/02/2013,,,,
04/02/2013,16,63,0,3
05/02/2013,16,69,0,
06/02/2013,16,68,0,
07/02/2013,15,64,0,
08/02/2013,15,65,0,
09/02/2013,15,63,0,
10/02/2013,15,64,0,
11/02/2013,15,70,0,
12/02/2013,14,73,0,
13/02/2013,15,72,0,
14/02/2013,15,63,0,
